thigh,upper_arm
52.19,32.38
50.06,27.01
54.61,24.45
50.72,23.25
60.44,29.2
59.6,29.44
59.96,31.95
47.06,27.15
44.49,26.79
61.01,27.13
58.27,27.95
66.37,36.68
50.38,24.88
46.58,23.5
51.21,27.73
51.65,28.41
47.6,29.33
52.36,25.59
60.49,29.41
56.59,27.05
46.7,22.22
59.11,23.64
57.74,22.37
52.23,23.88
55.57,27.63
45.74,24.57
69.88,38.75
57.74,27.95
53.12,26.44
55.13,29.8
60.76,28.34
55.35,22.37
52.32,25.58
56.92,29.59
60.05,32.21
45.8,20.55
53.31,28.36
65.47,28.33
50.95,22.05
58.53,29.67
65.83,32.54
67.34,26.8
63.73,30.93
54.17,25.98
57.06,27.75
50.63,22.92
46.58,25.21
47.56,28.5
52.34,24.11
54.72,31.0
59.55,29.41
54.09,23.97
53.37,28.63
51.4,29.48
42.84,20.95
56.98,30.42
53.02,26.84
54.79,31.75
56.74,24.6
51.36,26.49
53.39,25.84
62.15,28.37
55.95,27.78
62.05,34.01
62.93,28.61
49.91,29.51
59.47,29.67
53.13,23.72
48.69,23.93
48.54,24.22
57.7,23.0
57.45,28.22
46.42,26.84
61.1,26.41
54.51,26.68
52.7,27.1
53.57,27.37
55.05,27.34
58.12,30.18
57.42,27.46
52.59,22.74
50.82,23.36
58.88,27.29
53.35,27.04
52.72,30.83
66.81,35.41
56.21,21.26
57.24,29.61
60.89,27.4
59.42,30.0
63.47,27.32
54.24,24.91
58.32,28.45
50.11,30.0
58.23,29.48
41.69,20.53
49.56,21.78
46.23,20.62
50.93,27.3
64.14,28.84
53.64,30.02
49.73,29.77
49.17,25.49
55.32,27.61
55.37,28.85
62.04,35.73
61.86,27.13
57.32,26.58
58.2,26.63
58.26,29.65
53.4,27.45
52.58,25.78
53.65,24.41
51.31,24.71
63.54,30.46
61.83,28.79
51.07,22.55
60.77,29.35
58.88,25.47
57.99,23.97
47.73,24.89
44.09,24.19
60.44,26.85
61.17,33.06
57.98,28.04
64.63,31.21
54.43,28.03
56.18,27.71
61.52,31.53
58.21,27.44
57.21,29.55
39.72,21.3
54.36,29.45
54.32,28.25
54.94,22.01
51.75,26.28
49.34,21.41
58.22,29.65
52.51,21.84
56.94,29.94
57.7,27.51
69.86,32.2
53.92,27.54
55.05,29.79
52.37,30.07
61.55,34.03
55.73,25.36
51.79,28.29
63.78,31.52
48.93,22.69
55.75,25.94
44.97,24.39
65.34,28.34
59.21,29.5
66.28,27.52
65.08,28.11
52.52,27.09
51.92,26.37
52.31,24.34
52.39,26.72
57.98,32.62
57.7,25.09
52.45,23.34
44.63,26.37
51.38,24.49
57.88,28.44
56.18,31.03
64.21,30.54
54.43,22.78
47.69,33.71
49.16,29.64
63.03,28.53
54.86,29.19
50.23,28.57
58.69,28.84
51.15,31.12
52.12,27.41
50.24,25.4
50.75,22.95
54.03,26.28
56.87,29.7
40.85,27.93
60.44,28.66
62.97,28.64
58.19,23.08
58.8,29.76
59.15,31.57
47.97,25.4
60.17,28.51
42.36,21.54
52.18,30.13
51.98,23.5
53.34,28.9
61.94,30.38
61.79,30.61
48.23,23.25
53.39,30.56
59.89,24.97
49.18,31.87
55.02,29.7
60.1,25.17
63.33,29.71
56.27,31.47
63.15,31.71
55.1,28.2
52.48,29.8
54.13,26.27
49.6,26.31
53.85,27.84
61.89,29.39
62.35,31.0
47.68,27.3
59.75,30.18
53.49,29.88
49.15,23.48
54.53,25.4
52.14,27.99
43.66,24.0
54.63,27.13
54.78,29.2
53.3,25.12
53.88,23.7
55.43,23.31
54.0,25.77
54.06,30.61
53.48,27.2
56.93,27.33
51.68,29.96
50.58,26.92
54.26,21.3
59.38,28.9
54.27,26.26
52.36,23.84
47.35,23.83
50.26,28.56
46.92,20.76
58.04,27.98
51.09,22.39
63.58,27.85
52.32,25.79
47.95,22.24
57.44,27.94
46.0,30.65
51.57,30.7
65.53,33.14
55.11,29.18
65.93,30.01
55.55,28.85
50.52,24.18
57.5,23.44
54.07,28.78
56.06,30.56
60.48,32.21
41.68,24.08
39.06,21.85
